swc_name,length_um,start_x,start_y,start_z,start_structure,start_structure_name,start_hemisphere,end_x,end_y,end_z,end_structure,end_structure_name,end_hemisphere,start_region_hemi,end_region_hemi
AA1045.swc,121676.52616882324,6176.8984,798.0175,7258.7383,SSp-ll2/3,"Primary somatosensory area, lower limb, layer 2/3",Right,7716.4062,5129.2334,7081.535,ZI,Zona incerta,Right,SSp-ll2/3_Right,ZI_Right
AA1051.swc,105402.2626953125,8727.422,3286.0642,3949.8108,SCig,"Superior colliculus, motor related, intermediate gray layer",Left,4372.0547,4068.5693,10310.697,root,root,Right,SCig_Left,root_Right
AA1069.swc,133953.4952392578,7683.1025,6366.467,11690.818,outside_brain,outside_brain,Right,4482.539,3397.2822,6543.9863,VL,lateral ventricle,Right,outside_brain_Right,VL_Right
AA1101.swc,59734.7373046875,4311.6797,5708.167,6978.746,ACB,Nucleus accumbens,Right,7338.561,2229.781,8628.023,CA1,Field CA1,Right,ACB_Right,CA1_Right
AA1107.swc,120031.78161621094,4346.2515,6022.9033,7402.4336,ACB,Nucleus accumbens,Right,4101.875,7116.2666,12780.484,outside_brain,outside_brain,Right,ACB_Right,outside_brain_Right
AA1120.swc,156346.31201171875,4291.9697,5762.1455,6979.898,ACB,Nucleus accumbens,Right,7681.0645,6323.241,12958.918,outside_brain,outside_brain,Right,ACB_Right,outside_brain_Right
AA1132.swc,116665.5302734375,4312.8125,5949.658,7349.7617,ACB,Nucleus accumbens,Right,4162.3516,7549.171,13300.896,outside_brain,outside_brain,Right,ACB_Right,outside_brain_Right
AA1145.swc,127910.97855377197,6233.551,1587.1567,3460.731,SSp-ul5,"Primary somatosensory area, upper limb, layer 5",Left,6551.9688,5496.968,7776.377,GPi,"Globus pallidus, internal segment",Right,SSp-ul5_Left,GPi_Right
AA1149.swc,40481.389892578125,3960.2402,5448.5454,6788.584,ACB,Nucleus accumbens,Right,4526.3228,3599.057,9549.748,SSp-m4,"Primary somatosensory area, mouth, layer 4",Right,ACB_Right,SSp-m4_Right
AA1150.swc,89891.0908203125,3930.2734,5699.368,6236.6074,ACB,Nucleus accumbens,Right,5806.668,4648.5356,8797.757,CP,Caudoputamen,Right,ACB_Right,CP_Right
AA1155.swc,205318.84071350098,6260.6094,1489.4961,4245.4336,SSp-ll6a,"Primary somatosensory area, lower limb, layer 6a",Left,5817.664,6369.8467,9651.686,root,root,Right,SSp-ll6a_Left,root_Right
AA1172.swc,193498.05304718018,6435.5312,1527.8135,4399.463,SSp-ll6a,"Primary somatosensory area, lower limb, layer 6a",Left,7179.0425,6823.037,10993.206,root,root,Right,SSp-ll6a_Left,root_Right
AA1175.swc,49319.77966308594,3829.9844,5191.1514,7132.5605,ACB,Nucleus accumbens,Right,2594.837,3507.7651,5406.591,ORBm2/3,"Orbital area, medial part, layer 2/3",Left,ACB_Right,ORBm2/3_Left
AA1188.swc,471538.693069458,7226.2363,5798.198,7033.69,PSTN,Parasubthalamic nucleus,Right,6263.058,2026.3015,2485.5918,SSp-bfd5,"Primary somatosensory area, barrel field, layer 5",Left,PSTN_Right,SSp-bfd5_Left
AA1190.swc,137558.9776763916,8269.708,3231.1602,3586.003,LP,Lateral posterior nucleus of the thalamus,Left,6037.7656,7249.867,12011.665,outside_brain,outside_brain,Right,LP_Left,outside_brain_Right
AA1193.swc,16020.617553710938,7229.348,5003.297,4879.2764,VM,Ventral medial nucleus of the thalamus,Left,7073.635,5064.0337,8376.124,PAL,Pallidum,Right,VM_Left,PAL_Right
AA1206.swc,164556.4418334961,6695.25,1070.4648,6648.832,RSPagl6a,"Retrosplenial area, lateral agranular part, layer 6a",Right,6027.4883,7305.246,12006.94,outside_brain,outside_brain,Right,RSPagl6a_Right,outside_brain_Right
AA1207.swc,106155.94659423828,7053.3594,5455.1953,7317.74,STN,Subthalamic nucleus,Right,7944.535,2599.3828,2608.6543,CA1,Field CA1,Left,STN_Right,CA1_Left
AA1212.swc,181630.4810333252,4962.7266,1567.1973,4910.0127,MOs5,"Secondary motor area, layer 5",Left,5554.108,7256.862,12030.603,outside_brain,outside_brain,Right,MOs5_Left,outside_brain_Right
AA1213.swc,128520.29513549805,5013.8633,1719.1797,4517.667,MOp5,"Primary motor area, Layer 5",Left,5461.301,7239.839,12031.981,outside_brain,outside_brain,Right,MOp5_Left,outside_brain_Right
AA1220.swc,450718.8845214844,7517.9897,5211.0376,7625.2354,STN,Subthalamic nucleus,Right,8256.125,2895.916,5607.9463,MB,Midbrain,Left,STN_Right,MB_Left
AA1221.swc,91903.55471801758,6931.633,1738.9023,4518.6094,CA1,Field CA1,Left,6451.558,6279.6196,9256.446,PIR,Piriform area,Right,CA1_Left,PIR_Right
AA1267.swc,117566.42778015137,2939.4688,2493.1973,4612.09,MOs5,"Secondary motor area, layer 5",Left,5481.616,7024.197,10912.499,root,root,Right,MOs5_Left,root_Right
AA1282.swc,105798.54357910156,7194.1016,3274.95,8681.826,fi,fimbria,Right,7178.391,6268.7725,6164.381,DMH,Dorsomedial nucleus of the hypothalamus,Right,fi_Right,DMH_Right
AA1290.swc,46514.01843261719,3535.5583,4836.762,7050.4727,OLF,Olfactory areas,Right,4404.5854,2424.7917,9876.056,root,root,Right,OLF_Right,root_Right
AA1291.swc,163051.12530517578,4109.5063,4195.4663,11568.61,outside_brain,outside_brain,Right,7176.4165,3974.5774,6400.245,MD,Mediodorsal nucleus of thalamus,Right,outside_brain_Right,MD_Right
AA1294.swc,141296.13166809082,3601.7854,3100.6306,3485.7405,MOp6a,"Primary motor area, Layer 6a",Left,5592.436,7233.067,12917.327,outside_brain,outside_brain,Right,MOp6a_Left,outside_brain_Right
AA1296.swc,95288.53436279297,5947.336,4170.1094,9662.768,SSs6a,"Supplemental somatosensory area, layer 6a",Right,4701.137,6120.169,6433.075,SI,Substantia innominata,Right,SSs6a_Right,SI_Right
AA1314.swc,87898.17993164062,7009.7617,5361.014,5351.2964,PR,Perireunensis nucleus,Left,6813.8955,3757.0923,9597.849,SSs6b,"Supplemental somatosensory area, layer 6b",Right,PR_Left,SSs6b_Right
AA1365.swc,143566.6290512085,8040.883,2359.8447,3902.9883,DG-po,"Dentate gyrus, polymorph layer",Left,5779.684,4263.0293,8452.215,CP,Caudoputamen,Right,DG-po_Left,CP_Right
AA1407.swc,94246.35473632812,6064.41,1913.064,6088.5283,ACAv5,"Anterior cingulate area, ventral part, layer 5",Right,6595.5117,6048.252,8969.089,BLAa,"Basolateral amygdalar nucleus, anterior part",Right,ACAv5_Right,BLAa_Right
AA1409.swc,85627.94091796875,5288.7363,913.2126,6766.3438,MOp2/3,"Primary motor area, Layer 2/3",Right,3930.1772,5267.15,6993.62,ACB,Nucleus accumbens,Right,MOp2/3_Right,ACB_Right
AA1411.swc,75965.07460021973,1526.8871,3932.847,5878.1445,MOB,Main olfactory bulb,Right,5065.8394,4763.572,10268.913,root,root,Right,MOB_Right,root_Right
AA1439.swc,101232.25247192383,6510.5625,4198.414,7573.3516,VPM,Ventral posteromedial nucleus of the thalamus,Right,8641.694,2766.2922,4165.674,SCig,"Superior colliculus, motor related, intermediate gray layer",Left,VPM_Right,SCig_Left
AA1469.swc,186331.29754638672,7292.1934,6365.2305,4079.4302,root,root,Left,7118.2974,6622.159,12356.945,outside_brain,outside_brain,Right,root_Left,outside_brain_Right
AA1503.swc,129270.1986694336,5821.828,4866.782,10562.555,root,root,Right,4875.9717,4618.8384,2114.947,GU6a,"Gustatory areas, layer 6a",Left,root_Right,GU6a_Left
AA1539.swc,51966.43322753906,7769.0635,2692.9954,4163.9507,bsc,brachium of the superior colliculus,Left,5854.9375,7280.3794,12024.265,outside_brain,outside_brain,Right,bsc_Left,outside_brain_Right
AA1540.swc,55227.91394042969,4002.5325,2338.1628,3787.8071,MOp5,"Primary motor area, Layer 5",Left,5441.006,7376.1245,12024.337,outside_brain,outside_brain,Right,MOp5_Left,outside_brain_Right
AA1541.swc,85884.75216674805,4330.2954,2492.7107,3050.277,MOp5,"Primary motor area, Layer 5",Left,5607.3306,7180.0522,12035.557,outside_brain,outside_brain,Right,MOp5_Left,outside_brain_Right
AA1542.swc,33098.856018066406,7846.357,2680.4265,4368.7266,APN,Anterior pretectal nucleus,Left,6122.6675,7384.1763,12002.886,outside_brain,outside_brain,Right,APN_Left,outside_brain_Right
AA1568.swc,65004.97692871094,4979.785,1810.0294,3954.216,MOp5,"Primary motor area, Layer 5",Left,4760.0303,5814.473,8616.581,PIR,Piriform area,Right,MOp5_Left,PIR_Right
AA1575.swc,115797.83685302734,5242.9766,2306.9329,3965.8508,MOp6a,"Primary motor area, Layer 6a",Left,5441.623,5154.766,10417.493,root,root,Right,MOp6a_Left,root_Right
AA1579.swc,93239.1400756836,7423.6484,1948.3574,4597.506,CA1,Field CA1,Left,6440.3438,6951.533,9244.711,PIR,Piriform area,Right,CA1_Left,PIR_Right
AA1581.swc,40333.31718444824,9118.778,4698.592,4618.6177,rust,rubrospinal tract,Left,5705.2944,4124.795,7473.8813,int,internal capsule,Right,rust_Left,int_Right
AA1587.swc,46206.66313934326,7179.875,4234.382,3684.6504,VPM,Ventral posteromedial nucleus of the thalamus,Left,6580.6177,3821.912,9838.357,SSs6a,"Supplemental somatosensory area, layer 6a",Right,VPM_Left,SSs6a_Right
AA1588.swc,51292.84567260742,8517.664,4836.657,6104.0,VTA,Ventral tegmental area,Right,6723.617,3574.4785,9852.3125,SSs5,"Supplemental somatosensory area, layer 5",Right,VTA_Right,SSs5_Right
AA1590.swc,213657.27532958984,3764.664,4972.4805,10226.625,root,root,Right,7373.3994,5250.355,7358.3604,nst,nigrostriatal tract,Right,root_Right,nst_Right
AA1603.swc,67615.3823852539,4119.79,5182.4707,11376.102,root,root,Right,4241.15,3634.117,6665.4727,CP,Caudoputamen,Right,root_Right,CP_Right
AA1633.swc,116508.8366394043,4995.7812,1608.5546,4790.617,MOs5,"Secondary motor area, layer 5",Left,5038.9688,6269.0703,9035.668,PIR,Piriform area,Right,MOs5_Left,PIR_Right
