swc_name,length_um,start_x,start_y,start_z,start_structure,start_structure_name,start_hemisphere,end_x,end_y,end_z,end_structure,end_structure_name,end_hemisphere,start_region_hemi,end_region_hemi
AA1447.swc,345608.12,4071.985,4816.9673,8953.364,AId5,"Agranular insular area, dorsal part, layer 5",Right,2880.3516,4472.084,4464.008,AON,Anterior olfactory nucleus,Left,AId5_Right,AON_Left
AA1448.swc,387694.25,4615.345,5222.6274,8867.928,AIv6a,"Agranular insular area, ventral part, layer 6a",Right,3926.9517,4141.5645,3815.5464,CP,Caudoputamen,Left,AIv6a_Right,CP_Left
AA1449.swc,336040.5,4269.256,4905.6123,8650.631,AId6a,"Agranular insular area, dorsal part, layer 6a",Right,3350.0059,4943.1636,4301.6787,OLF,Olfactory areas,Left,AId6a_Right,OLF_Left
AA1459.swc,104662.195,6381.1094,4070.0117,8274.439,GPe,"Globus pallidus, external segment",Right,3771.3887,4947.9917,7197.3257,ACB,Nucleus accumbens,Right,GPe_Right,ACB_Right
AA1467.swc,54037.83,2702.0938,5595.9346,7020.135,AON,Anterior olfactory nucleus,Right,6255.1787,5944.537,13263.388,outside_brain,outside_brain,Right,AON_Right,outside_brain_Right
AA1469.swc,186331.31,7292.1934,6365.2305,4079.4302,root,root,Left,7118.2974,6622.159,12356.945,outside_brain,outside_brain,Right,root_Left,outside_brain_Right
AA1501.swc,165420.64,5173.8438,4702.0605,10513.018,root,root,Right,4910.961,5029.622,2401.6895,CLA,Claustrum,Left,root_Right,CLA_Left
AA1503.swc,129270.195,5821.828,4866.782,10562.555,root,root,Right,4875.9717,4618.8384,2114.947,GU6a,"Gustatory areas, layer 6a",Left,root_Right,GU6a_Left
AA1539.swc,51966.43,7769.0635,2692.9954,4163.9507,bsc,brachium of the superior colliculus,Left,5854.9375,7280.3794,12024.265,outside_brain,outside_brain,Right,bsc_Left,outside_brain_Right
AA1540.swc,55227.914,4002.5325,2338.1628,3787.8071,MOp5,"Primary motor area, Layer 5",Left,5441.006,7376.1245,12024.337,outside_brain,outside_brain,Right,MOp5_Left,outside_brain_Right
AA1541.swc,85884.76,4330.2954,2492.7107,3050.277,MOp5,"Primary motor area, Layer 5",Left,5607.3306,7180.0522,12035.557,outside_brain,outside_brain,Right,MOp5_Left,outside_brain_Right
AA1543.swc,90537,7508.83,2668.0474,3423.18,CA3,Field CA3,Left,6177.957,7344.0874,11999.845,outside_brain,outside_brain,Right,CA3_Left,outside_brain_Right
AA1544.swc,69476.36,4734.841,1792.1003,4399.5977,MOp5,"Primary motor area, Layer 5",Left,5503.879,7207.4272,12033.223,outside_brain,outside_brain,Right,MOp5_Left,outside_brain_Right
AA1576.swc,47060.566,8188.316,4399.2827,3948.2278,SPFp,"Subparafascicular nucleus, parvicellular part",Left,6956.099,4121.8257,10829.534,root,root,Right,SPFp_Left,root_Right
AA1578.swc,73239.36,8450.281,4871.847,3886.7898,SNr,"Substantia nigra, reticular part",Left,5737.939,5071.251,8008.3467,CP,Caudoputamen,Right,SNr_Left,CP_Right
AA1579.swc,93239.14,7423.6484,1948.3574,4597.506,CA1,Field CA1,Left,6440.3438,6951.533,9244.711,PIR,Piriform area,Right,CA1_Left,PIR_Right
AA1581.swc,40333.316,9118.778,4698.592,4618.6177,rust,rubrospinal tract,Left,5705.2944,4124.795,7473.8813,int,internal capsule,Right,rust_Left,int_Right
AA1587.swc,46206.668,7179.875,4234.382,3684.6504,VPM,Ventral posteromedial nucleus of the thalamus,Left,6580.6177,3821.912,9838.357,SSs6a,"Supplemental somatosensory area, layer 6a",Right,VPM_Left,SSs6a_Right
AA1588.swc,51292.844,8517.664,4836.657,6104,VTA,Ventral tegmental area,Right,6723.617,3574.4785,9852.3125,SSs5,"Supplemental somatosensory area, layer 5",Right,VTA_Right,SSs5_Right
AA1590.swc,213657.28,3764.664,4972.4805,10226.625,root,root,Right,7373.3994,5250.355,7358.3604,nst,nigrostriatal tract,Right,root_Right,nst_Right
AA1599.swc,213467.75,6447.492,7192.0703,12808.993,outside_brain,outside_brain,Right,4276.9556,3841.435,6271.308,VL,lateral ventricle,Right,outside_brain_Right,VL_Right
AA1601.swc,56527.375,4639.362,4588.1626,10419.319,root,root,Right,5795.2456,9550.121,12365.522,outside_brain,outside_brain,Right,root_Right,outside_brain_Right
AA1613.swc,46085.145,6206.9316,1456.9851,7981.413,SSp-ul5,"Primary somatosensory area, upper limb, layer 5",Right,6551.188,6576.172,9525.221,PIR,Piriform area,Right,SSp-ul5_Right,PIR_Right
AA1614.swc,57830.586,6177.594,2113.5605,5721.1855,ccb,"corpus callosum, body",Right,5971.1406,6549.659,10078.412,root,root,Right,ccb_Right,root_Right
AA1625.swc,114450.42,6628.767,1703.083,4300.203,alv,alveus,Left,6462.5054,7443.5,11959.006,outside_brain,outside_brain,Right,alv_Left,outside_brain_Right
AA1633.swc,116508.84,4995.7812,1608.5546,4790.617,MOs5,"Secondary motor area, layer 5",Left,5038.9688,6269.0703,9035.668,PIR,Piriform area,Right,MOs5_Left,PIR_Right
AA1638.swc,94691.78,7739.633,6664.434,5541.842,PVp,"Periventricular hypothalamic nucleus, posterior part",Left,5756.508,1680.4849,10092.89,root,root,Right,PVp_Left,root_Right
AA1639.swc,19170.19,2054.9182,4009.8071,6456.2295,MOB,Main olfactory bulb,Right,3766.9653,4576.373,9126.605,AId2/3,"Agranular insular area, dorsal part, layer 2/3",Right,MOB_Right,AId2/3_Right
AA1640.swc,17288.838,3757.664,4858.3867,4639.589,ACB,Nucleus accumbens,Left,4119.996,4941.1836,8569.268,AIv5,"Agranular insular area, ventral part, layer 5",Right,ACB_Left,AIv5_Right
AL0002.swc,59450.332,4522.5337,4664.544,11225.3545,root,root,Right,4405.66,3753.9531,6643.9688,CP,Caudoputamen,Right,root_Right,CP_Right
AL0003.swc,69864.27,6922.7812,5324.2417,11181.808,root,root,Right,7005.004,4039.3552,6624.9873,CL,Central lateral nucleus of the thalamus,Right,root_Right,CL_Right
